FULL_CODE,PAR_CODE,PAR_NAME,DUN_CODE,DUN_NAME,DM_CODE,DM_NAME,POPULATION
114/00/01,114,KEPONG,00,,01,KAMPONG MELAYU KEPONG,4869
114/00/02,114,KEPONG,00,,02,JINJANG TEMPATAN PERTAMA,3042
114/00/03,114,KEPONG,00,,03,JINJANG TEMPATAN KEDUA,3680
114/00/04,114,KEPONG,00,,04,JINJANG TEMPATAN KETIGA,4061
114/00/05,114,KEPONG,00,,05,JINJANG TEMPATAN KEEMPAT,2172
114/00/06,114,KEPONG,00,,06,JINJANG TENGAH,3126
114/00/07,114,KEPONG,00,,07,JINJANG TEMPATAN UTARA,3113
114/00/08,114,KEPONG,00,,08,JINJANG UTARA,3667
114/00/09,114,KEPONG,00,,09,PEKAN KEPONG,3419
114/00/10,114,KEPONG,00,,10,TAMAN KEPONG,7654
114/00/11,114,KEPONG,00,,11,KEPONG BARU BARAT,4253
114/00/12,114,KEPONG,00,,12,KEPONG UTARA,2653
114/00/13,114,KEPONG,00,,13,JINJANG TEMPATAN KESEPULUH,3836
114/00/14,114,KEPONG,00,,14,JINJANG TEMPATAN KESEBELAS,4504
114/00/15,114,KEPONG,00,,15,KEPONG SELATAN,2457
114/00/16,114,KEPONG,00,,16,KEPONG BARU TENGAH,2748
114/00/17,114,KEPONG,00,,17,KEPONG BARU TIMOR,3506
114/00/18,114,KEPONG,00,,18,KEPONG BARU TAMBAHAN,5326
114/00/19,114,KEPONG,00,,19,JINJANG TEMPATAN KEDUABELAS,2490
115/00/01,115,BATU,00,,01,TAMAN INTAN BAIDURI,2869
115/00/02,115,BATU,00,,02,TAMAN SRI MURNI,3330
115/00/03,115,BATU,00,,03,KAMPONG SELAYANG LAMA,884
115/00/04,115,BATU,00,,04,TAMAN BERINGIN,3610
115/00/05,115,BATU,00,,05,TAMAN WAHYU,3653
115/00/06,115,BATU,00,,06,TAMAN BATU PERMAI,3087
115/00/07,115,BATU,00,,07,TAMAN BATU MUDA,2786
115/00/08,115,BATU,00,,08,TAMAN KOPERASI POLIS FASA II,3708
115/00/09,115,BATU,00,,09,BATU MUDA,2086
115/00/10,115,BATU,00,,10,PEKAN BATU,3444
115/00/11,115,BATU,00,,11,BATU KANTOMEN,4828
115/00/12,115,BATU,00,,12,SENTUL UTARA,6254
115/00/13,115,BATU,00,,13,SENTUL JAYA,2157
115/00/14,115,BATU,00,,14,TAMAN RAINBOW,2930
115/00/15,115,BATU,00,,15,TAMAN MILLION,1823
115/00/16,115,BATU,00,,16,SENTUL PASAR,2307
115/00/17,115,BATU,00,,17,SENTUL TENGAH,4926
115/00/18,115,BATU,00,,18,BANDAR BARU SENTUL,5013
115/00/19,115,BATU,00,,19,RUMAH PANGSA SRI PERAK,4149
115/00/20,115,BATU,00,,20,SENTUL SELATAN,3319
115/00/21,115,BATU,00,,21,KAMPONG KOVIL UTARA,1945
115/00/22,115,BATU,00,,22,KAMPONG KOVIL SELATAN,3182
115/00/23,115,BATU,00,,23,SETAPAK SELATAN,2500
115/00/24,115,BATU,00,,24,KOMPLEKS DAMAI,2470
116/00/01,116,WANGSA MAJU,00,,01,FLAT TAMAN MELATI,3348
116/00/02,116,WANGSA MAJU,00,,02,TAMAN MELATI,2548
116/00/03,116,WANGSA MAJU,00,,03,RUMAH PANGSA DEWAN BANDARAYA GOMBAK,6124
116/00/04,116,WANGSA MAJU,00,,04,GOMBAK UTARA,3836
116/00/05,116,WANGSA MAJU,00,,05,GOMBAK SELATAN,3460
116/00/06,116,WANGSA MAJU,00,,06,JALAN GOMBAK,3394
116/00/07,116,WANGSA MAJU,00,,07,TAMAN SETAPAK,4174
116/00/08,116,WANGSA MAJU,00,,08,TAMAN IBU KOTA,3385
116/00/09,116,WANGSA MAJU,00,,09,KAMPONG PUAH,1999
116/00/10,116,WANGSA MAJU,00,,10,TAMAN P. RAMLEE,1977
116/00/11,116,WANGSA MAJU,00,,11,TERATAI MEWAH,3208
116/00/12,116,WANGSA MAJU,00,,12,DANAU KOTA,3360
116/00/13,116,WANGSA MAJU,00,,13,GENTING KELANG,4676
116/00/14,116,WANGSA MAJU,00,,14,TAMAN WANGSA MELAWATI,3384
116/00/15,116,WANGSA MAJU,00,,15,TAMAN DESA SETAPAK,3270
116/00/16,116,WANGSA MAJU,00,,16,SEKSYEN 2 WANGSA MAJU,5450
116/00/17,116,WANGSA MAJU,00,,17,SEKSYEN 4 WANGSA MAJU,2052
116/00/18,116,WANGSA MAJU,00,,18,SEKSYEN 1 WANGSA MAJU,7564
116/00/19,116,WANGSA MAJU,00,,19,CHANGKAT,3270
116/00/20,116,WANGSA MAJU,00,,20,KAMPONG PADANG BALANG,4105
116/00/21,116,WANGSA MAJU,00,,21,PEKAN SETAPAK,1243
117/00/01,117,SEGAMBUT,00,,01,TAMAN BUKIT MALURI UTARA,4056
117/00/02,117,SEGAMBUT,00,,02,TAMAN BUKIT MALURI SELATAN,3422
117/00/03,117,SEGAMBUT,00,,03,BANDAR MANJALARA,3754
117/00/04,117,SEGAMBUT,00,,04,DESA PARK CITY,2038
117/00/05,117,SEGAMBUT,00,,05,TAMAN SRI SINAR,5962
117/00/06,117,SEGAMBUT,00,,06,SRI SEGAMBUT,3479
117/00/07,117,SEGAMBUT,00,,07,TAMAN KOK DOH,4185
117/00/08,117,SEGAMBUT,00,,08,TAMAN CITY KANAN,3366
117/00/09,117,SEGAMBUT,00,,09,KAMPONG SUNGAI UDANG,3005
117/00/10,117,SEGAMBUT,00,,10,TAMAN SEGAMBUT,2257
117/00/11,117,SEGAMBUT,00,,11,KAMPONG KASIPILLAY,2786
117/00/12,117,SEGAMBUT,00,,12,DUTAMAS,2960
117/00/13,117,SEGAMBUT,00,,13,SEGAMBUT,2414
117/00/14,117,SEGAMBUT,00,,14,BUKIT LANJAN,488
117/00/15,117,SEGAMBUT,00,,15,KAMPONG SUNGAI PENCHALA,1829
117/00/16,117,SEGAMBUT,00,,16,SRI HARTAMAS,2214
117/00/17,117,SEGAMBUT,00,,17,BUKIT TUNKU,1879
117/00/18,117,SEGAMBUT,00,,18,BUKIT DAMANSARA,2426
117/00/19,117,SEGAMBUT,00,,19,MEDAN DAMANSARA,4173
117/00/20,117,SEGAMBUT,00,,20,TAMAN TUN DR ISMAIL TIMUR,3165
117/00/21,117,SEGAMBUT,00,,21,TAMAN TUN DR ISMAIL UTARA,2827
117/00/22,117,SEGAMBUT,00,,22,TAMAN TUN DR ISMAIL TENGAH,3776
117/00/23,117,SEGAMBUT,00,,23,TAMAN TUN DR ISMAIL SELATAN,2485
117/00/24,117,SEGAMBUT,00,,24,TIONG NAM,3862
117/00/25,117,SEGAMBUT,00,,25,KAMPONG SEMARANG,2255
117/00/26,117,SEGAMBUT,00,,26,KOLAM AYER,2970
118/00/01,118,SETIAWANGSA,00,,01,JALAN USAHAWAN,2073
118/00/02,118,SETIAWANGSA,00,,02,TAMAN SETAPAK PERMAI,3168
118/00/03,118,SETIAWANGSA,00,,03,TAMAN SRI RAMPAI,5357
118/00/04,118,SETIAWANGSA,00,,04,SEKSYEN 5/6 WANGSA MAJU,2485
