FULL_CODE,PAR_CODE,PAR_NAME,DUN_CODE,DUN_NAME,DM_CODE,DM_NAME,POPULATION
166/00/01,166,LABUAN,,,01,KUBONG,1561
166/00/02,166,LABUAN,,,02,LAYANGAN,944
166/00/03,166,LABUAN,,,03,LAJAU,1763
166/00/04,166,LABUAN,,,04,GANGGARAK,661
166/00/05,166,LABUAN,,,05,LADA,1196
166/00/06,166,LABUAN,,,06,BENUWA,1748
166/00/07,166,LABUAN,,,07,LAPANGAN TERBANG,1138
166/00/08,166,LABUAN,,,08,VICTORIA UTARA,1411
166/00/09,166,LABUAN,,,09,VICTORIA SELATAN,867
166/00/10,166,LABUAN,,,10,RAMSAY,1733
166/00/11,166,LABUAN,,,11,RANCHA - RANCHA,2087
166/00/12,166,LABUAN,,,12,KERUPANG,1758
166/00/13,166,LABUAN,,,13,KAMPONG BATU ARANG,2929
166/00/14,166,LABUAN,,,14,PATAU-PATAU,638
166/00/15,166,LABUAN,,,15,SUNGAI KELING,1399
166/00/16,166,LABUAN,,,16,BUKIT KALAM,2024
166/00/17,166,LABUAN,,,17,TANJUNG ARU,1252
